gene_hgnc_symbol	chromosome_name	start_position	end_position
A1BG	19	58856544	58864865
A2M	12	9220260	9268825
A2ML1	12	8975068	9039597
A4GALT	22	43088127	43117304
AAAS	12	53701240	53718648
AACS	12	125549925	125627873
AAED1	9	99401859	99417585
AAGAB	15	67493371	67547533
AAK1	2	69688532	69901481
AAMDC	11	77532155	77629478
AAMP	2	219128850	219134980
AANAT	17	74449433	74466199
AAR2	20	34824381	34858840
AARS	16	70286198	70323446
AARS2	6	44267391	44281063
AARSD1	17	41102543	41116515
AASDH	4	57204456	57253666
AASDHPPT	11	105946228	105969437
AASS	7	121715701	121784334
AATK	17	79091095	79139877
ABAT	16	8768422	8878432
ABCA1	9	107543283	107690518
ABCA10	17	67143355	67240987
ABCA13	7	48211055	48687092
ABCA2	9	139901686	139923367
ABCA3	16	2325882	2390747
ABCA5	17	67240452	67323385
ABCA6	17	67074843	67138029
ABCA7	19	1040102	1065571
ABCB1	7	87133175	87342611
ABCB10	1	229652329	229694442
ABCB11	2	169779448	169887832
ABCB4	7	87031013	87109751
ABCB5	7	20654830	20816658
ABCB6	2	220074490	220083712
ABCB8	7	150725510	150744869
ABCB9	12	123405498	123466196
ABCC1	16	16043434	16236931
ABCC10	6	43395104	43418168
ABCC2	10	101542489	101611949
ABCC3	17	48712138	48769613
ABCC4	13	95672083	95953687
ABCC5	3	183637722	183735803
ABCC6	16	16242785	16317379
ABCD2	12	39943835	40013553
ABCD3	1	94883933	94984222
ABCD4	14	74752126	74769759
ABCE1	4	146019084	146050331
ABCF1	6	30539153	30564956
ABCF2	7	150904923	150924316
ABCF3	3	183903811	183911800
ABCG1	21	43619799	43717354
ABCG2	4	89011416	89152474
ABHD1	2	27346682	27353680
ABHD10	3	111697857	111712210
ABHD11	7	73150424	73153197
ABHD12	20	25275379	25371619
ABHD12B	14	51338878	51371688
ABHD13	13	108870727	108886603
ABHD14A	3	52005442	52015212
ABHD14B	3	52002526	52017425
ABHD15	17	27887565	27894155
ABHD16A	6	31654726	31671221
ABHD17A	19	1876809	1885546
ABHD17B	9	74477368	74525847
ABHD17C	15	80972025	81047962
ABHD18	4	128886461	128960866
ABHD2	15	89630690	89745591
ABHD3	18	19230858	19284766
ABHD4	14	23067146	23081265
ABHD5	3	43731605	43775863
ABHD6	3	58223233	58281420
ABHD8	19	17402940	17421045
ABI1	10	27035522	27150016
ABI2	2	204192942	204312446
ABI3	17	47287589	47300587
ABI3BP	3	100468000	100712359
ABL1	9	133589333	133763062
ABL2	1	179068462	179198819
ABLIM1	10	116190872	116444762
ABLIM2	4	7967039	8160559
ABLIM3	5	148521046	148640105
ABO	9	136125788	136150617
ABR	17	906758	1132315
ABRACL	6	139349819	139364439
ABT1	6	26597180	26600278
ABTB1	3	127391778	127399768
ABTB2	11	34172535	34379555
ACAA1	3	38144620	38178733
ACAA2	18	47309869	47340330
ACACB	12	109554400	109706031
ACAD10	12	112123857	112194903
ACAD11	3	132276982	132379567
ACAD8	11	134123389	134135749
ACAD9	3	128598439	128634910
ACADM	1	76190036	76253260
ACADS	12	121163538	121177811
ACADSB	10	124768495	124817827
ACADVL	17	7120444	7128592
ACAN	15	89346674	89418585
ACAP1	17	7239848	7254797
ACAP2	3	194995465	195163807
ACAP3	1	1227756	1244989
ACAT1	11	107992243	108018503
ACAT2	6	160181360	160200144
ACBD3	1	226332380	226374431
ACBD4	17	43209967	43221548
ACBD5	10	27484146	27531059
ACBD6	1	180238788	180245359
ACCS	11	44087475	44105772
ACD	16	67691415	67694713
ACE	17	61554422	61599205
ACER2	9	19408925	19452018
ACER3	11	76571911	76737841
ACHE	7	100487615	100494594
ACIN1	14	23527773	23564823
ACKR3	2	237476430	237491001
ACKR4	3	132316081	132337811
ACLY	17	40023161	40086795
ACMSD	2	135596117	135659604
ACO1	9	32384618	32454767
ACO2	22	41865129	41924993
ACOT1	14	74003818	74010498
ACOT11	1	55007930	55104865
ACOT13	6	24667263	24705293
ACOT2	14	74034324	74042357
ACOT4	14	74058410	74063200
ACOT7	1	6324329	6454451
ACOT8	20	44470360	44486045
ACOX1	17	73937588	73975515
ACOX3	4	8368009	8442450
ACP1	2	264140	278283
ACP2	11	47260853	47270457
ACP5	19	11685475	11689823
ACP6	1	147101453	147142618
ACPP	3	132036211	132087142
ACRBP	12	6747241	6756626
ACSBG1	15	78459810	78538030
ACSF2	17	48503519	48552206
ACSF3	16	89154783	89222254
ACSL1	4	185676749	185747972
ACSL3	2	223725652	223809357
ACSL5	10	114133776	114188138
ACSL6	5	131142683	131347936
ACSM1	16	20634559	20710212
ACSM3	16	20621565	20808903
ACSM5	16	20420856	20452658
ACSS1	20	24986868	25039616
ACSS2	20	33459949	33515769
ACSS3	12	81331594	81650533
ACTA2	10	90694831	90751147
ACTB	7	5566782	5603415
ACTG1	17	79476997	79490873
ACTL10	20	32254304	32256331
ACTL6A	3	179280668	179306196
ACTN1	14	69340860	69446157
ACTN2	1	236849754	236927931
ACTN4	19	39138289	39222223
ACTR10	14	58666798	58701750
ACTR1A	10	104238986	104262482
ACTR1B	2	98272431	98280570
ACTR2	2	65454887	65498387
ACTR3	2	114647537	114720173
ACTR3B	7	152456834	152552463
ACTR3C	7	149941005	150020814
ACTR5	20	37377085	37400834
ACTR6	12	100592900	100635643
ACTR8	3	53901093	53916229
ACTRT3	3	169484709	169487683
ACVR1	2	158592958	158732374
ACVR1B	12	52345451	52390862
ACVR1C	2	158383279	158485517
ACVR2A	2	148602086	148688393
ACVR2B	3	38495342	38534633
ACVRL1	12	52300692	52317145
ACY1	3	52009066	52023213
ACYP1	14	75519924	75536186
ACYP2	2	54197975	54532437
ADA	20	43248163	43280874
ADAL	15	43622872	43646096
ADAM10	15	58887403	59042177
ADAM12	10	127700950	128077024
ADAM15	1	155023042	155035252
ADAM17	2	9628615	9695921
ADAM19	5	156822542	157002783
ADAM20	14	70989075	71001732
ADAM21	14	70918874	70926622
ADAM22	7	87563458	87832204
ADAM23	2	207308263	207485851
ADAM28	8	24151553	24216531
ADAM32	8	38964509	39142430
ADAM8	10	135075907	135090372
ADAM9	8	38854388	38962663
ADAMDEC1	8	24241798	24263526
ADAMTS1	21	28208066	28217728
ADAMTS10	19	8645126	8675620
ADAMTS13	9	136279478	136324508
ADAMTS14	10	72432559	72522197
ADAMTS17	15	100511794	100882210
ADAMTS2	5	178537852	178772431
ADAMTS4	1	161154098	161168846
ADAMTS6	5	64444563	64777747
ADAMTS7	15	79051545	79103773
ADAMTSL4	1	150521884	150533413
ADAP1	7	937540	995043
ADAP2	17	29233362	29286340
ADAR	1	154554538	154600475
ADARB1	21	46493768	46646478
ADARB2	10	1228073	1779670
ADAT1	16	75630879	75657198
ADAT2	6	143743969	143771810
ADAT3	19	1905377	1913444
ADCK1	14	78266426	78401355
ADCK2	7	140372953	140396061
ADCK3	1	227085237	227175246
ADCK4	19	41197434	41224112
ADCK5	8	145596790	145618457
ADCY1	7	45613739	45762715
ADCY3	2	25042038	25142708
ADCY4	14	24787555	24804299
ADCY5	3	123001143	123168605
ADCY6	12	49159975	49182820
ADCY7	16	50280048	50352046
ADCY9	16	4003388	4166186
ADCYAP1	18	904944	912173
ADD1	4	2845584	2931803
ADD2	2	70834750	70995357
ADD3	10	111756126	111895323
ADGRA2	8	37641709	37702414
ADGRA3	4	22346694	22517677
ADGRB1	8	143530791	143626370
ADGRD1	12	131438452	131626014
ADGRE1	19	6887577	6940470
ADGRE2	19	14843205	14889353
ADGRE3	19	14729929	14800839
ADGRE5	19	14491313	14519537
ADGRF3	2	26531041	26569685
ADGRG1	16	57644564	57698944
ADGRG3	16	57702099	57723975
ADGRG5	16	57576333	57625593
ADGRG6	6	142622991	142767403
ADGRL1	19	14260750	14316999
ADH5	4	99992132	100009952
ADHFE1	8	67342420	67383836
ADI1	2	3501132	3523507
ADIPOR1	1	202909951	202927700
ADIPOR2	12	1797740	1897844
ADIRF	10	88727949	88743691
ADK	10	75910960	76469061
ADM	11	10326227	10328944
ADM2	22	50919985	50924869
ADNP	20	49505585	49547958
ADNP2	18	77866915	77905406
ADO	10	64564516	64568238
ADORA2A	22	24813847	24838328
ADORA2B	17	15848231	15879060
ADPGK	15	73043710	73078187
ADPRH	3	119298115	119308792
ADPRHL1	13	114076260	114107839
ADPRHL2	1	36554476	36559533
ADPRM	17	10600911	10614550
ADRB1	10	115803806	115806667
ADRB2	5	148206156	148208196
ADRBK1	11	67033881	67054027
ADRBK2	22	25960816	26125261
ADRM1	20	60877149	60883918
ADSL	22	40742507	40786467
ADSS	1	244571796	244615436
ADSSL1	14	105190523	105213662
ADTRP	6	11712287	11807279
AEBP1	7	44143960	44154161
AEBP2	12	19556979	19873735
AEN	15	89164527	89175513
AES	19	3052908	3063105
AFAP1	4	7760441	7941653
AFAP1L2	10	116054583	116164515
AFF1	4	87856154	88062206
AFF3	2	100162323	100759201
AFF4	5	132211071	132299326
AFG3L2	18	12328943	12377313
AFMID	17	76183398	76203782
AFTPH	2	64751465	64820139
AGA	4	178351924	178363657
AGAP1	2	236402733	237040444
AGAP2	12	58118980	58135940
AGAP3	7	150782918	150841523
AGAP4	10	46321042	46349323
AGAP5	10	75434033	75457639
AGAP6	10	51748078	51770259
AGAP9	10	47191844	47239738
AGBL2	11	47681143	47736941
AGBL3	7	134671259	134832715
AGBL5	2	27265232	27293490
AGER	6	32148745	32152101
AGFG1	2	228336868	228425930
AGFG2	7	100136834	100165842
AGGF1	5	76325076	76361059
AGK	7	141250989	141355044
AGL	1	100315640	100389579
AGMAT	1	15898848	15911605
AGO1	1	36335409	36395211
AGO2	8	141541264	141645718
AGO3	1	36396319	36538101
AGO4	1	36273773	36323491
AGPAT1	6	32135989	32145873
AGPAT2	9	139567595	139581875
AGPAT3	21	45285067	45406417
AGPAT4	6	161551011	161695093
AGPAT5	8	6565878	6617184
AGPS	2	178257372	178408564
AGRN	1	955503	991496
AGRP	16	67516474	67517716
AGTPBP1	9	88161455	88356944
AGTRAP	1	11796141	11814859
AHCTF1	1	247002400	247095280
AHCY	20	32868074	32899608
AHCYL1	1	110527308	110566357
AHCYL2	7	128864864	129070052
AHDC1	1	27860546	27930942
AHI1	6	135604670	135818914
AHNAK	11	62201016	62323707
AHNAK2	14	105403581	105444694
AHR	7	17338246	17385776
AHRR	5	304291	438406
AHSA1	14	77924213	77935817
AICDA	12	8754762	8765467
AIDA	1	222841355	222886552
